,parentId,authorDisplayName,replyComment,publishedAt,likeCount,Label
0,UgzOz70AOTc_NRr63md4AaABAg,Thái Salem,@MyNameIs Impossible ok ông Mà rikusan có chơi game này chưa ông,2021-04-25T14:42:02Z,0,null
1,UgzOz70AOTc_NRr63md4AaABAg,MyNameIs Impossible,mai linh chơi ở phần trc đấy ông xem lại đi nma chắc bả k chịu đc nên k chơi nx,2021-04-25T14:14:43Z,1,null
2,UgwBBXCyo_3EazAcbWJ4AaABAg,TKT_ Gamer,:))),2021-04-25T10:29:57Z,0,null
3,Ugw3K4460bKz5_dMHVN4AaABAg,HatsuneMiku•初音ミク,tải vidmate rồi tải video là ok,2021-04-25T02:33:17Z,0,null
4,UgwdEY7_hs6DoXCCWT54AaABAg,Tung Nguyen Nang,"@Hoàng Lê hn nó mới ra, chơi lúc nào đc mà bảo chơi lâu rồi ?? 😶 ??",2021-04-25T13:28:56Z,0,null
5,UgwdEY7_hs6DoXCCWT54AaABAg,Hoàng Lê,"Chơi lâu rồi bạn ey,bò lạc à",2021-04-25T06:40:58Z,0,null
6,UgzHxgiF_JKJSdNt97J4AaABAg,Sarah Võ,Phở trung cổ :),2021-04-25T10:04:15Z,0,null
7,UgznQelNZ98hiLfV6NV4AaABAg,Ben Winchester,Trúc cơ lên Kim đan bất thành,2021-04-25T18:28:15Z,0,null
8,UgznQelNZ98hiLfV6NV4AaABAg,Khương Trần,Lôi kiếp :3,2021-04-25T12:37:24Z,0,null
9,Ugx01xCo3Adek1wtZIl4AaABAg,Lukas Ricky,not sure if anyone gives a damn but last night I hacked my girlfriends Instagram password by using InstaPlekt. Just google for it ;),2021-04-24T21:01:30Z,1,null
10,UgzHhIUFvA_3ha8glQl4AaABAg,Tri Vo,Dê Đực đấy =)),2021-04-25T03:03:00Z,0,null
11,UgyIWm3vWcmJxyerdkN4AaABAg,Mai Huỳnh,And game là cái gì?,2021-04-25T20:45:38Z,0,null
12,UgyIWm3vWcmJxyerdkN4AaABAg,Viet Kong,End :))),2021-04-25T00:48:53Z,0,null
13,UgyIWm3vWcmJxyerdkN4AaABAg,My My,Ahhhaaa,2021-04-24T17:06:46Z,0,null
14,UgyIWm3vWcmJxyerdkN4AaABAg,Khang Nguyễn,:)),2021-04-24T16:53:59Z,0,null
15,UgxBBny9U24MdLDjUg14AaABAg,Sen Nguyễn Thị,Devour kìa bạn,2021-04-25T05:26:30Z,1,null
16,Ugz2-0Q4IIuhItR2r4d4AaABAg,Tik Tok Cockatail,@tam thanh Nó lại hợp lí kkk,2021-04-25T19:20:15Z,0,null
17,Ugz2-0Q4IIuhItR2r4d4AaABAg,sakami *,@tam thanh =)))),2021-04-25T17:30:49Z,0,null
18,Ugz2-0Q4IIuhItR2r4d4AaABAg,Linh Ngọc Nguyễn,@tam thanh há há,2021-04-25T16:49:56Z,0,null
19,Ugz2-0Q4IIuhItR2r4d4AaABAg,Rurudo,@tam thanh Ủa ? ? ? ? ?,2021-04-25T14:00:48Z,4,null
20,Ugz2-0Q4IIuhItR2r4d4AaABAg,tam thanh,Do bạn để ảnh gái hỏi nhiều vc :v,2021-04-25T13:31:47Z,0,null
21,UgzuopNULHMdzABm3NV4AaABAg,Viet Kong,Hải Dương c Việt Nam :))),2021-04-25T00:26:11Z,0,null
22,UgzuopNULHMdzABm3NV4AaABAg,Duy Thành TV,Việt Nam vs Hải Dương khác chỗ lào z bạn,2021-04-24T22:43:06Z,0,null
